zpid,streetName,city,state,zipcode,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,homeStatus,daysOnZillow,zestimate,rentZestimate,isPreforeclosureAuction,isZillowOwned,currency,country,taxAssessedValue,lotAreaValue,lotAreaUnit,is_newHome,newConstructionType,datePriceChanged,priceReduction,priceChange,is_openHouse,openHouse,open_house_showing,imgSrc,homeDetailUrl,price_to_rent_ratio
82749279,802 W 134th St,Compton,CA,90222,33.910473,-118.23942,829900,4,6,2824,MULTI_FAMILY,FOR_SALE,-1,841200,3938,FALSE,FALSE,USD,USA,404306,4784,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/60ad60f9ce492aad121cbec57661ba79-p_e.jpg,https://www.zillow.com/homedetails/802-W-134th-St-Compton-CA-90222/82749279_zpid/,213.61097003555105
21000757,2301 E 126th St,Compton,CA,90222,33.91819,-118.23188,539999,2,3,1274,SINGLE_FAMILY,FOR_SALE,-1,,3499,FALSE,FALSE,USD,USA,295993,7578,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/5d44df51e156dd1064be89a94be30a03-p_e.jpg,https://www.zillow.com/homedetails/2301-E-126th-St-Compton-CA-90222/21000757_zpid/,
21008297,1008 N Willow Ave,Compton,CA,90221,33.90296,-118.2171,799900,3,7,2498,MULTI_FAMILY,FOR_SALE,-1,805200,3880,FALSE,FALSE,USD,USA,464953,5236,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/0c97e922707ee0957341d206990615c1-p_e.jpg,https://www.zillow.com/homedetails/1008-N-Willow-Ave-Compton-CA-90221/21008297_zpid/,207.5257731958763
2053648965,2532 E East St 131,Compton,CA,90222,33.91323,-118.224976,575000,2,3,1058,SINGLE_FAMILY,FOR_SALE,-1,608300,3399,FALSE,FALSE,USD,USA,,3320,sqft,,,1.70436E+12,"$15,000 (Jan 4)",-15000,,,,https://photos.zillowstatic.com/fp/a7a1a6db01ec2b86f64c39506470b9ec-p_e.jpg,https://www.zillow.com/homedetails/2532-E-East-St-131-Compton-CA-90222/2053648965_zpid/,178.96440129449837
21395049,13508 Corby Ave,Norwalk,CA,90650,33.90966,-118.08322,739999,2,3,1527,SINGLE_FAMILY,FOR_SALE,-1,,3849,FALSE,FALSE,USD,USA,684420,4780,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/e666c27b2917c0e380de9f7c66b27369-p_e.jpg,https://www.zillow.com/homedetails/13508-Corby-Ave-Norwalk-CA-90650/21395049_zpid/,
21375540,11836 Hercules St,Norwalk,CA,90650,33.922695,-118.080376,799000,2,3,1286,SINGLE_FAMILY,FOR_SALE,-1,,3518,FALSE,FALSE,USD,USA,737460,5250,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/e40a8c9a8be25b2c9cfdfdf9c57b9e36-p_e.jpg,https://www.zillow.com/homedetails/11836-Hercules-St-Norwalk-CA-90650/21375540_zpid/,
21008059,208 E Poplar St,Compton,CA,90220,33.900017,-118.22167,710000,9,9,1188,MULTI_FAMILY,FOR_SALE,-1,709100,3949,FALSE,FALSE,USD,USA,372551,4999,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/fe7545aef48f70616b50354fbdbff788-p_e.jpg,https://www.zillow.com/homedetails/208-E-Poplar-St-Compton-CA-90220/21008059_zpid/,179.56444669536592
20993807,2737 W Caldwell St,Compton,CA,90220,33.88274,-118.2572,750000,2,4,1900,SINGLE_FAMILY,FOR_SALE,-1,,3999,FALSE,FALSE,USD,USA,363757,5130,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/cc8c7caa45f30b433c2cd21f1a5d3a01-p_e.jpg,https://www.zillow.com/homedetails/2737-W-Caldwell-St-Compton-CA-90220/20993807_zpid/,
21013269,119 N Chester Ave,Compton,CA,90221,33.89685,-118.21516,699900,3,4,1704,MULTI_FAMILY,FOR_SALE,-1,700300,3384,FALSE,FALSE,USD,USA,701250,7503,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/41bad320b953d0981d0bdd8c87127d1a-p_e.jpg,https://www.zillow.com/homedetails/119-N-Chester-Ave-Compton-CA-90221/21013269_zpid/,206.94444444444446
2054065729,700 704 N Acacia St,Compton,CA,90220,33.900795,-118.22695,685000,3,4,1704,MULTI_FAMILY,FOR_SALE,-1,702700,3525,FALSE,FALSE,USD,USA,,4997,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/cce7e9084ba58f1321c0186d1f8d9333-p_e.jpg,https://www.zillow.com/homedetails/700-704-N-Acacia-St-Compton-CA-90220/2054065729_zpid/,199.34751773049646
20995752,1430 W 154th St,Compton,CA,90220,33.89265,-118.24675,750000,3,3,1206,SINGLE_FAMILY,FOR_SALE,-1,745400,3499,FALSE,FALSE,USD,USA,246887,5244,sqft,,,1.69796E+12,,10000,,,,https://photos.zillowstatic.com/fp/3cb6569e15dc38cd03fab1ca06b160f5-p_e.jpg,https://www.zillow.com/homedetails/1430-W-154th-St-Compton-CA-90220/20995752_zpid/,213.03229494141183
21443013,7915 Vanport Ave,Whittier,CA,90606,33.97239,-118.06974,770000,2,3,1548,SINGLE_FAMILY,FOR_SALE,-1,759300,3699,FALSE,FALSE,USD,USA,604202,6001,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/40d2a14e86a9f73b6585a353d8179801-p_e.jpg,https://www.zillow.com/homedetails/7915-Vanport-Ave-Whittier-CA-90606/21443013_zpid/,205.27169505271695
21016669,14710 S Frailey Ave,Compton,CA,90221,33.89912,-118.191154,649000,2,3,1545,SINGLE_FAMILY,FOR_SALE,-1,662800,3900,FALSE,FALSE,USD,USA,43527,5238,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/7dc5d788ad31563ed93638092f009d84-p_e.jpg,https://www.zillow.com/homedetails/14710-S-Frailey-Ave-Compton-CA-90221/21016669_zpid/,169.94871794871796
21376536,11522 Painter Ave,Whittier,CA,90605,33.926094,-118.05238,840000,2,3,1518,SINGLE_FAMILY,FOR_SALE,-1,827800,3463,FALSE,FALSE,USD,USA,308374,1518,sqft,,,1.69416E+12,,-10000,,,,https://photos.zillowstatic.com/fp/692324fc94cb2aede6d3155b3dea7615-p_e.jpg,https://www.zillow.com/homedetails/11522-Painter-Ave-Whittier-CA-90605/21376536_zpid/,239.04129367600348
21000835,2611 E 124th St,Compton,CA,90222,33.920017,-118.226,784000,3,5,2451,SINGLE_FAMILY,FOR_SALE,-1,775300,4498,FALSE,FALSE,USD,USA,346139,5896,sqft,,,1.69398E+12,,-15000,,,,https://photos.zillowstatic.com/fp/32bc1081e3a8a54a7cac5ec3f58a296d-p_e.jpg,https://www.zillow.com/homedetails/2611-E-124th-St-Compton-CA-90222/21000835_zpid/,172.3654957759004
21286278,625 E Lincoln St,Carson,CA,90745,33.80766,-118.263176,755000,2,3,1555,SINGLE_FAMILY,FOR_SALE,-1,774500,3499,FALSE,FALSE,USD,USA,722037,3006,sqft,,,,,,TRUE,Sat. 11am-4pm,"[{'open_house_start': 1704567600000, 'open_house_end': 1704585600000}, {'open_house_start': 1704654000000, 'open_house_end': 1704672000000}]",https://photos.zillowstatic.com/fp/0d336dc9a65298ffb286efc78ab10c54-p_e.jpg,https://www.zillow.com/homedetails/625-E-Lincoln-St-Carson-CA-90745/21286278_zpid/,221.3489568448128
21423883,10316 El Rey Dr,Whittier,CA,90606,33.99369,-118.06798,788888,2,4,1365,SINGLE_FAMILY,FOR_SALE,-1,785200,3499,FALSE,FALSE,USD,USA,412381,4587,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/ed9f7dc9287ff85f388db0414c953665-p_e.jpg,https://www.zillow.com/homedetails/10316-El-Rey-Dr-Whittier-CA-90606/21423883_zpid/,224.4069734209774
20997597,1913 W 133rd St,Compton,CA,90222,33.91166,-118.25355,629000,2,4,1684,SINGLE_FAMILY,FOR_SALE,-1,633400,3949,FALSE,FALSE,USD,USA,65831,5106,sqft,,,1.70124E+12,,10000,,,,https://photos.zillowstatic.com/fp/d4e97023c12d712edf78bbc62deffdde-p_e.jpg,https://www.zillow.com/homedetails/1913-W-133rd-St-Compton-CA-90222/20997597_zpid/,160.3950367181565
20992244,14324 S Clymar Ave,Compton,CA,90220,33.901714,-118.26088,659999,2,3,1615,SINGLE_FAMILY,FOR_SALE,-1,,3728,FALSE,FALSE,USD,USA,515076,5361,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/73f366a3b6b74c48e35dae741b8925d6-p_e.jpg,https://www.zillow.com/homedetails/14324-S-Clymar-Ave-Compton-CA-90220/20992244_zpid/,
21433242,10519 Parise Dr,Whittier,CA,90604,33.939083,-118.02039,798000,2,3,1198,SINGLE_FAMILY,FOR_SALE,-1,822900,3499,FALSE,FALSE,USD,USA,765000,6002,sqft,,,1.70297E+12,"$31,000 (Dec 19)",-31000,,,,https://photos.zillowstatic.com/fp/b1b68840734c2529099370bb5182d9f7-p_e.jpg,https://www.zillow.com/homedetails/10519-Parise-Dr-Whittier-CA-90604/21433242_zpid/,235.18148042297798
21401991,14312 Devlin Ave,Norwalk,CA,90650,33.901745,-118.07867,739900,2,3,1069,SINGLE_FAMILY,FOR_SALE,-1,744900,3300,FALSE,FALSE,USD,USA,128998,5603,sqft,TRUE,BUILDER_SPEC,,,,,,,https://photos.zillowstatic.com/fp/c9ae0e978e546988429e59bce16552e6-p_e.jpg,https://www.zillow.com/homedetails/14312-Devlin-Ave-Norwalk-CA-90650/21401991_zpid/,225.72727272727272
21002563,2358 E El Segundo Blvd,Compton,CA,90222,33.915504,-118.22899,550000,2,3,971,SINGLE_FAMILY,FOR_SALE,-1,558900,3099,FALSE,FALSE,USD,USA,540600,6603,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/bb3499167b79c2056774ffb6c643f1e6-p_e.jpg,https://www.zillow.com/homedetails/2358-E-El-Segundo-Blvd-Compton-CA-90222/21002563_zpid/,180.3484995159729
21436549,9655 Mills Ave,Whittier,CA,90604,33.945705,-118.02198,749900,2,3,1034,SINGLE_FAMILY,FOR_SALE,-1,770100,3200,FALSE,FALSE,USD,USA,296882,6145,sqft,,,,,,TRUE,Sat. 1-4pm,"[{'open_house_start': 1704574800000, 'open_house_end': 1704585600000}, {'open_house_start': 1704661200000, 'open_house_end': 1704672000000}]",https://photos.zillowstatic.com/fp/538e182f9482d80705cdafb87982310e-p_e.jpg,https://www.zillow.com/homedetails/9655-Mills-Ave-Whittier-CA-90604/21436549_zpid/,240.65625
21008035,809 N Tamarind Ave,Compton,CA,90220,33.901733,-118.22268,760000,2,3,1208,MULTI_FAMILY,FOR_SALE,-1,732000,3270,FALSE,FALSE,USD,USA,693600,4980,sqft,,,1.70427E+12,"$40,000 (Jan 3)",-40000,,,,https://photos.zillowstatic.com/fp/58fa86fdb8b2bc7d44a8d3b8e67b537c-p_e.jpg,https://www.zillow.com/homedetails/809-N-Tamarind-Ave-Compton-CA-90220/21008035_zpid/,223.85321100917432
21002016,2080 E Oris St,Compton,CA,90222,33.90687,-118.23325,649000,2,3,1230,SINGLE_FAMILY,FOR_SALE,-1,667300,3395,FALSE,FALSE,USD,USA,214833,5912,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/ba7c18d30db408cabb7892885925fede-p_e.jpg,https://www.zillow.com/homedetails/2080-E-Oris-St-Compton-CA-90222/21002016_zpid/,196.5537555228277
21006096,426 W Laurel St,Compton,CA,90220,33.89274,-118.22966,735000,3,6,2158,MULTI_FAMILY,FOR_SALE,-1,,3725,FALSE,FALSE,USD,USA,406360,6629,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/688759dc7795f81ae15eba1ac387226b-p_e.jpg,https://www.zillow.com/homedetails/426-W-Laurel-St-Compton-CA-90220/21006096_zpid/,
20998302,818 W 130th St,Compton,CA,90222,33.91383,-118.24007,775000,2,3,1767,SINGLE_FAMILY,FOR_SALE,-1,776500,3881,FALSE,FALSE,USD,USA,392753,9456.876,sqft,,,,,,TRUE,Sun. 1-4pm,"[{'open_house_start': 1704661200000, 'open_house_end': 1704672000000}]",https://photos.zillowstatic.com/fp/46987dc6fdf9033257897c5ca3a49cc3-p_e.jpg,https://www.zillow.com/homedetails/818-W-130th-St-Compton-CA-90222/20998302_zpid/,200.0772996650348
21432740,9959 Bonavista Ln,Whittier,CA,90604,33.94299,-118.01776,829000,2,3,1563,SINGLE_FAMILY,FOR_SALE,-1,828600,3846,FALSE,FALSE,USD,USA,322909,6097,sqft,,,,,,TRUE,Sat. 12-4pm,"[{'open_house_start': 1704571200000, 'open_house_end': 1704585600000}]",https://photos.zillowstatic.com/fp/875da5ed29be3012049ecb2f8484d169-p_e.jpg,https://www.zillow.com/homedetails/9959-Bonavista-Ln-Whittier-CA-90604/21432740_zpid/,215.4446177847114
21395357,13918 Jersey Ave,Norwalk,CA,90650,33.904858,-118.08564,805000,2,3,1722,SINGLE_FAMILY,FOR_SALE,-1,804800,3849,FALSE,FALSE,USD,USA,534775,5114,sqft,,,,,,TRUE,Fri. 1-5pm,"[{'open_house_start': 1704488400000, 'open_house_end': 1704502800000}, {'open_house_start': 1704567600000, 'open_house_end': 1704582000000}]",https://photos.zillowstatic.com/fp/b9ccec64098134f7fc2a636193e80b04-p_e.jpg,https://www.zillow.com/homedetails/13918-Jersey-Ave-Norwalk-CA-90650/21395357_zpid/,209.0932709794752
21015624,1802 E San Vincente St,Compton,CA,90221,33.89912,-118.203835,699000,2,4,1368,SINGLE_FAMILY,FOR_SALE,-1,,3807,FALSE,FALSE,USD,USA,434565,5951,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/2881e20c5b09188c23ce0052c98e88f2-p_e.jpg,https://www.zillow.com/homedetails/1802-E-San-Vincente-St-Compton-CA-90221/21015624_zpid/,
20996528,1421 W Palmer St,Compton,CA,90220,33.89796,-118.24757,665000,2,3,1102,SINGLE_FAMILY,FOR_SALE,-1,,3499,FALSE,FALSE,USD,USA,327148,5307,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/ba4fa2e134dbfe67944814efd96fd7c3-p_e.jpg,https://www.zillow.com/homedetails/1421-W-Palmer-St-Compton-CA-90220/20996528_zpid/,
